alt, beta_m-1, dbeta_min_m-1, dbeta_max_m-1
456.543, 7.198e-8, -1.310e-8, 1.640e-8
470.575, 9.405e-8, -1.181e-8, 1.306e-8
485.483, 2.238e-7, -1.447e-8, 1.229e-8
498.913, 3.954e-7, -1.614e-8, 1.682e-8
511.615, 4.745e-7, -1.460e-8, 2.019e-8
525.437, 4.276e-7, -1.638e-8, 1.935e-8
539.259, 3.219e-7, -1.233e-8, 1.108e-8
553.455, 2.319e-7, -1.177e-8, 7.984e-9
567.651, 1.750e-7, -1.103e-8, 1.129e-8
581.100, 1.485e-7, -1.009e-8, 1.041e-8
594.175, 1.436e-7, -1.044e-8, 1.086e-8
608.371, 1.318e-7, -9.266e-9, 9.598e-9
621.820, 1.040e-7, -7.813e-9, 9.035e-9
634.895, 6.926e-8, -7.337e-9, 7.804e-9
649.091, 4.414e-8, -5.990e-9, 6.532e-9
663.287, 3.962e-8, -5.554e-9, 5.863e-9
675.988, 4.152e-8, -5.353e-9, 5.651e-9
689.437, 3.911e-8, -4.953e-9, 5.787e-9
702.886, 3.354e-8, -4.701e-9, 5.164e-9
716.335, 2.960e-8, -4.478e-9, 5.367e-9
730.904, 2.921e-8, -4.291e-9, 5.029e-9
743.232, 3.006e-8, -3.944e-9, 4.720e-9
757.055, 3.046e-8, -3.718e-9, 4.690e-9
769.756, 2.869e-8, -3.763e-9, 4.417e-9
783.205, 2.512e-8, -3.465e-9, 4.019e-9
797.027, 2.773e-8, -3.131e-9, 3.286e-9
810.476, 3.078e-8, -3.188e-9, 3.646e-9
823.177, 2.269e-8, -2.718e-9, 3.426e-9
836.253, 1.744e-8, -2.523e-9, 2.791e-9
849.328, 2.653e-8, -2.562e-9, 2.912e-9
